text,label
100 viscose ladies knitted top vmlua leisa ss top box dnmjrs epbdhk 6879 dt 16616 cl smow white,16
7484230 k n i t t e d cardigan article for woman of comp 88polyester 12elastane brand  zara cooturqua,15
footwear460018031007blue778190b,19
wardrobe furniture sipario shelf burnoak sh made of mdf board  hardware order no 503509332 plist w769,41
dinning table mdf item no155157,41
orthopedic footwearclassic chestnut 8 12 wide,20
0722423 sweatshirt 100 cotton  man knitted rsp item meant for retail sale,14
88 polyester 12 linen knitted one piece garment 3002632244 for womens brand next,16
seat sc90 7018b8h 10019671 seat for motor grader,33
qc gloves,6
rc01 abs print heel821 prs,26
center tablesize 160x50 h33 cm,41
unitsolessize7125with spray168 prseva,27
cabinet dc001 w3200d450h2100 mdf,45
lady footwear 317330 brand metro,17
readymade footbed  cushion plus m1867d insole for shoes2666 prs,26
opss16w6002 wind jkt wn pkrnpinkm,15
silver findings10000 pcs 925 fine silver miracel plate,31
adys700101 lynx lite kb m shoe men footwear upper leather lining textile outsole rubber dc brand,22
ordinary furnituredining table set14anwt4781kgssetwt5 made of mdfironpolishedglass model3597025,42
sln0031r1r leena sofa with reclinerisfta conocoisfta164882 dt06062016,35
long approns promotional itemsnot for sale,6
skirting board reducer24001245mm 48ctnpart of woodenflooring810pcs150usd,8
ladies shoes made of synthetic article nohlltp5201,18
room main door wood 770 kgs,42
tn608b2 bk  mini triple ring burner set with injectors in black finish  1692 pcs per pcs 480 usd parts of kitchen b,32
inner garn l rr back ftacno0001036 dt 10022016  car seat parts for captive consumption,38
parquet skirtings walnut amerik lacquered 14x58x2180mm skirting 50 pcs,8
7614040 k n i t t e d polo shirt article for man of comp 99cotton 1polyester brandzara cooturqua,10
midsole art oy160 size 060708 steel midsole,26
sofa 850x900x900mm,35
outsole cm356hwattsos eva outsole  painted welt material use for footwear 1416 prs,27
big square dining table  rattan ,44
furniture  rocking chair  pc w001  net wt  9 kgspcs mo  mdf  synthetic,42
550871 tb ultimate pillow pillow 60 num for duty free shop,47
ssb001 shible sofa bedisfta cert nocoisfta166325 dt18072016,35
cm671 rbeva outsole 1050 prsmaterial use for footwear,27
foot massage  3002800  plasticmetal,41
parts of furniture composed closet wardrobebeds and fittings side 40 h 2286 side panel,41
alex low back dining chair china origin  us 14395kgsdetails as per packing list,41
footbed insoles15895 prs,26
nongshim snack onionring 2084g,2
table  item nojy size 1800x550x970mm iron ss 12000 kgs,41
ray armrest cushion 60x80 cover thread colour fabric sirio anthracite smoke grey yarn for own use 4642kgsnum,47
m8293 mens shirt knitted 100 cotton fred perry brand,10
leather long gloves black rsp rs 1350,7
basket a 52  rattan ,9
kwy03 yelena wardrobe 135cm x 57cm x 195cm with 3 doors2 inside drawersmirrorisfta conocoisfta16508 dt180116,41
pu chairwood,41
5584290 k n i t t e d sweatshirt article for woman of comp  59polyester 40viscose 1elastane brand  zara,15
golf bed stead furniture,41
house hold itemsbedding18002000 1 set for personal use not for sale,41
out sole f do tr tampa monogrd f vern unit soles,26
brass artwork 1 60x60 obra laton 1  marco roble 60x60 15000158911 accessories of showroom furniture  49 mdf30l,42
5816 beach umbrella polyester150t  10,28
console 750300,44
metal sheet parts for gas cooker 1000 pcs,32
jumpsuit female knit ea 10 sample not for sale,16
sitting budha 90 stone 1 pcs,29
outdoor recliner tea table with chair furniture ub approx nt wt 30 kgsset made of mdfpolish iron wo decorative wo o,41
4046901315900m ss pique polo blk l polo porsche design,11
sweet biscuits x mcv digestive 24 x 250g mrp per pcs  118 504 cases mcvities brand,1
foam cup  rclhdb3025 201510355 4507799706 3007097585 6714 360pairs,6
furniture1 table4 chairmode not8855t8857nt wt 64 kgsmade of mdfwood,42
rp4 sum short gloves techblack xl  made of leather,7
bordbar new arrows whitetrolleyaluminium  steel,39
parts of furniture composed closet wardrobebeds and fittings internal shelf btw sides 899 x 505fittings with,41
wardrobe with single door mdf  solid rubberwood assorted furniture in knockdown condition total netwt 300 kgs,41
rv47 barcode sticker stickers,6
bc cake 12x432g,2
dining chair 90 x 90 x 78 mmhard wood,35
rear seat kit kdgx7312558baa for use in manufacturing of vehicle,33
top w458x584 aszrf303mersfurniture,40
nescafe gold eden jar 12 x 100g in 864 ctn aifta cert no 001160067312 dt 280116,3
kids footwear flip flop4700002652dy1660562k multi2932,19
2221ancelmo footwear mens sports fation sandal brand call it spring,22
ss ladder6,41
cup s4  components for gas cookers ,32
sl designs womens leather shoes style no  0653255306513,21
corsica folding table  chairs set finishdark acaciafnodcf13da10007nw 1104 kgs,35
tiger eyes 16mm slab thickness polished marble alabaster slabs,29
zf glove golf motion fit mlh whitered flap sports goods,7
f301i 42arc steel manual open 3 folded umbrellapromotional purposesteel shaft and ribsblack runnersingle layer190,28
walldrobe furniture ub approx nt wt 70 kgspcs made of mdfpolish ironglass wo decoratives wo ornaments,41
nescafe gold eden jar 12 x 100g in 864 ctn koreaindiacomeco no k001160622435 dt23082016,3
rope rattan bread basket dia 23 h7 280 pcs  205 usd,9
umbrella with base 227w made up fabric metal unbranded net wt 36010 kgs,28
kokola cookies 400gr x 6 920 ctn afta cert no0090707sby2016 dt 14092016,1
151010100070 injector 070 mark h1 components for gas cookers,32
footbedrf2462 pugreat lotus memory foammicrofibee fabricgx1047mtrl use for footwear3600 prs,26
tshirt male knit pl85co15  sample not for sale,13
chair  wooden 1net wt 252 kgs,35
ladies shoes made of synthetic article nobzlsan6204 colourblue,18
solar panel umbrella,28
burner cap 00647533 spare parts for gas hob,32
sofa model nos1899,35
wooden slat and components bottom rail nanik fj 33mm x10mm 4707 sunkissed oak 1679 fot,8
ladies knitted pullover 65viscose35polyamide,15
wash basin modena black7 pcs,29
matress 6 x 65m mno888 made ofspongespringfabric,42
stock lot of pet roll mix micron  size,5
mens casual shoes unbranded,26
bed 22602060900 mdfpu 130 kg,42
office table 1200 600  750 p 36  04,41
aero guys level 2 graphic tees mens knit tops 100 cotton styleno 7777au16aeropostale,14
zw523 sofa 2seater made of normal foamwood framefabricnwt160kg,35
bookcasecrystal bookcasechycrm900 x 395 x 2000 mmmade ofmdfglassdl28,41
girls knitted synthetic sweatshirts unbranded,16
furnituresofa setmodel m chicagokd 2 seater full pvccolor ac charcoal,34
insoles  size 3034  301 prs,26
footwear82559a26 fuchsiasandalladiesbrandsmoochiesize234567,19
polyester umbrella 22 x 8k,28
open dustbin gpx45,41
100 leather sandal 100094396 for womens brand next,22
su un lato il connettore 6 poli jst xhp6 e laltro lato spelatura 10mm  cavo 4 poli doppio isolamento con  z0020171,48
womens slippers  code rosa  colour blue  pink  size 4 to8,25
